90376954;41.22606;-8.66888;-0.1513005;0.7195304
90376957;41.23101;-8.667611;-0.1512783;0.7196169
130219264;41.23827;-8.633954;-0.1506909;0.7197436
135809830;41.22084;-8.627018;-0.1505699;0.7194394
135809827;41.22023;-8.626987;-0.1505693;0.7194287
135809976;41.22358;-8.627584;-0.1505798;0.7194871
135809982;41.22235;-8.627318;-0.1505751;0.7194657
135809987;41.22143;-8.627138;-0.150572;0.7194497
135809963;41.22483;-8.630672;-0.1506336;0.7195089
135809966;41.22484;-8.629846;-0.1506192;0.7195092
242027527;41.25513;-8.616535;-0.1503869;0.7200379
242027528;41.2564;-8.616321;-0.1503832;0.72006
242027532;41.25758;-8.616186;-0.1503808;0.7200807
242027530;41.25707;-8.616207;-0.1503812;0.7200717
251059195;41.25071;-8.61766;-0.1504065;0.7199606
264117399;41.23943;-8.614498;-0.1503514;0.7197638
264117404;41.23951;-8.616688;-0.1503896;0.7197652
264117407;41.24162;-8.625493;-0.1505433;0.719802
264117413;41.24166;-8.629662;-0.150616;0.7198029
264117414;41.24148;-8.630229;-0.1506259;0.7197996
264117402;41.23941;-8.615979;-0.1503772;0.7197636
264117405;41.24033;-8.619635;-0.150441;0.7197795
264117416;41.24076;-8.631873;-0.1506546;0.7197871
264117417;41.24051;-8.632455;-0.1506648;0.7197827
264117434;41.24105;-8.645966;-0.1509006;0.7197921
264117408;41.24188;-8.626977;-0.1505692;0.7198066
264119184;41.22644;-8.671496;-0.1513462;0.7195371
264119164;41.23234;-8.693167;-0.1517244;0.7196401
264119165;41.23229;-8.692291;-0.1517091;0.7196392
264119166;41.23221;-8.690941;-0.1516855;0.7196378
264119167;41.23215;-8.690233;-0.1516732;0.7196368
264119169;41.23185;-8.68577;-0.1515953;0.7196316
264119171;41.23175;-8.684473;-0.1515726;0.7196298
264119172;41.23164;-8.683437;-0.1515546;0.7196279
264119173;41.23145;-8.682503;-0.1515383;0.7196245
264119174;41.23127;-8.681838;-0.1515267;0.7196214
264119175;41.23104;-8.68131;-0.1515174;0.7196174
264119176;41.23077;-8.680612;-0.1515052;0.7196128
264119177;41.23037;-8.679772;-0.1514906;0.7196057
264119178;41.22998;-8.678935;-0.151476;0.7195989
264119179;41.22955;-8.678018;-0.15146;0.7195914
264119182;41.228;-8.674727;-0.1514026;0.7195644
264119168;41.23198;-8.687672;-0.1516285;0.7196339
264119202;41.22606;-8.660375;-0.151152;0.7195304
264119203;41.2262;-8.65979;-0.1511419;0.719533
264119204;41.22638;-8.659321;-0.1511337;0.7195361
264119205;41.22666;-8.658662;-0.1511222;0.7195409
264119206;41.227;-8.658152;-0.1511133;0.7195469
264119210;41.2285;-8.655979;-0.1510753;0.719573
264119212;41.22929;-8.654898;-0.1510565;0.7195869
264119213;41.22965;-8.654489;-0.1510493;0.7195931
264119188;41.22591;-8.669858;-0.1513176;0.719528
264119190;41.2257;-8.668755;-0.1512983;0.7195241
264119226;41.23493;-8.653868;-0.1510385;0.7196853
264119232;41.23686;-8.653175;-0.1510264;0.719719
264119233;41.23716;-8.652948;-0.1510224;0.7197243
264119235;41.23751;-8.652597;-0.1510163;0.7197303
264119244;41.24024;-8.648814;-0.1509503;0.7197779
264119245;41.24047;-8.648293;-0.1509412;0.7197819
264119246;41.24058;-8.647989;-0.1509359;0.719784
264119247;41.24068;-8.647599;-0.1509291;0.7197856
264119277;41.24101;-8.630891;-0.1506375;0.7197915
264119278;41.24113;-8.630641;-0.1506331;0.7197934
264119288;41.24143;-8.62537;-0.1505411;0.7197987
264119289;41.24134;-8.62481;-0.1505313;0.7197973
264119290;41.24121;-8.624166;-0.1505201;0.7197949
264119248;41.24079;-8.64702;-0.150919;0.7197876
264119291;41.2411;-8.623651;-0.1505111;0.7197931
264119292;41.24097;-8.623091;-0.1505013;0.7197907
264119293;41.2408;-8.622294;-0.1504874;0.7197877
264119302;41.23923;-8.614729;-0.1503554;0.7197603
264119303;41.2393;-8.613831;-0.1503397;0.7197616
264119304;41.23936;-8.613076;-0.1503265;0.7197626
264119250;41.24084;-8.645983;-0.1509009;0.7197884
269522180;41.24474;-8.648451;-0.1509439;0.7198565
269522288;41.23993;-8.649228;-0.1509575;0.7197726
269522179;41.24548;-8.648575;-0.1509461;0.7198694
269522216;41.22554;-8.633366;-0.1506807;0.7195215
269522218;41.22509;-8.632537;-0.1506662;0.7195135
269522222;41.22488;-8.631772;-0.1506528;0.7195098
269523885;41.23907;-8.644214;-0.15087;0.7197575
269523886;41.23928;-8.644336;-0.1508721;0.7197613
269523952;41.24055;-8.644248;-0.1508706;0.7197834
269523964;41.2402;-8.645285;-0.1508887;0.7197772
269524143;41.24101;-8.647032;-0.1509192;0.7197915
269524516;41.24263;-8.647874;-0.1509339;0.7198197
269524517;41.24245;-8.647797;-0.1509325;0.7198166
269524518;41.24226;-8.647754;-0.1509318;0.7198132
269524519;41.24202;-8.647745;-0.1509316;0.7198091
269524520;41.24182;-8.647754;-0.1509318;0.7198055
269524521;41.24155;-8.647822;-0.150933;0.7198009
269524522;41.24137;-8.647908;-0.1509345;0.7197978
269524523;41.24114;-8.648106;-0.1509379;0.7197937
269524524;41.24086;-8.64844;-0.1509438;0.7197887
269524525;41.24063;-8.648698;-0.1509483;0.7197848
269524795;41.24683;-8.648827;-0.1509505;0.719893
269525085;41.25301;-8.652655;-0.1510173;0.7200009
269525086;41.25126;-8.651067;-0.1509896;0.7199703
269528888;41.27796;-8.67776;-0.1514555;0.7204363
269528904;41.2598;-8.660983;-0.1511627;0.7201194
